366159.16,362576.4,116.79
366158.96,362576.6,116.79
366158.96,362576.8,116.79000000007859
366158.76,362576.8,116.79000000007859
366158.76,362577.0,116.8
366158.56,362577.2,116.8099999996915
366158.36,362577.4,116.81
366158.36,362577.6,116.81
366158.16,362577.6,116.81
366158.16,362577.8,116.81
366157.96,362578.0,116.81
366157.76,362578.2,116.81
366157.76,362578.4,116.81
366157.56,362578.6,116.79000000059374
366157.36,362578.8,116.79000000020373
366157.36,362579.0,116.81
366157.16,362579.0,116.81
366157.16,362579.2,116.81
366156.96,362579.4,116.81
366156.76,362579.6,116.81
366156.76,362579.8,116.8099999998865
366156.56,362579.8,116.80000000039871
366156.56,362580.0,116.80999999971479
366156.36,362580.2,116.81
366156.16,362580.4,116.81
366156.16,362580.6,116.81
366155.96,362580.6,116.81
366155.96,362580.8,116.80999999974972
366155.76,362581.0,116.79
366155.76,362581.2,116.79
366155.56,362581.2,116.79999999972642
366155.56,362581.4,116.79999999972642
366155.36,362581.4,116.8
366155.36,362581.6,116.8
366155.16,362581.8,116.79999999972642
366155.16,362582.0,116.78
366154.96,362582.0,116.78
366154.96,362582.2,116.78
366154.76,362582.2,116.78
366154.76,362582.4,116.78
366154.76,362582.6,116.78
366154.56,362582.6,116.76000000052387
366154.56,362582.8,116.76000000082072
366154.36,362582.8,116.76000000029686
366154.36,362583.0,116.78
366154.16,362583.2,116.78
366154.16,362583.4,116.78
366153.96,362583.4,116.78
366153.96,362583.6,116.78
366153.76,362583.6,116.78
366153.76,362583.8,116.78000000032014
366153.56,362584.0,116.78000000050059
366153.56,362584.2,116.78000000050059
366153.36,362584.2,116.78
366153.36,362584.4,116.78
366153.16,362584.4,116.78
366153.16,362584.6,116.78
366153.16,362584.8,116.78
366152.96,362584.8,116.78
366152.96,362585.0,116.78000000017462
366152.76,362585.0,116.78000000017462
366152.76,362585.2,116.79
366152.56,362585.2,116.79
366152.56,362585.4,116.79
366152.56,362585.6,116.79
366152.36,362585.6,116.79
366152.36,362585.8,116.79
366152.16,362585.8,116.79
366152.16,362586.0,116.79
366151.96,362586.0,116.79
366151.96,362586.2,116.79
366151.96,362586.4,116.79
366151.76,362586.4,116.79
366151.76,362586.6,116.79
