366153.65,362580.04,116.83999999986612
366153.45,362580.24,116.83999999944703
366153.45,362580.44,116.83999999944703
366153.25,362580.64,116.84
366153.25,362580.84,116.84
366153.05,362580.84,116.84
366153.05,362581.04,116.84
366153.05,362581.24,116.8399999999185
366152.85,362581.24,116.8399999999185
366152.85,362581.44,116.83
366152.65,362581.44,116.83
366152.65,362581.64,116.83
366152.65,362581.84,116.83
366152.45,362581.84,116.85999999920546
366152.45,362582.04,116.85999999920546
366152.25,362582.24,116.86
366152.05,362582.44,116.86
366152.05,362582.64,116.86
366151.85,362582.84,116.86
366151.85,362583.04,116.86
366151.65,362583.04,116.86
366151.65,362583.24,116.85999999968567
366151.65,362583.44,116.83
366151.45,362583.44,116.85999999924039
366151.45,362583.64,116.85999999924039
366151.25,362583.64,116.86
366151.25,362583.84,116.86
366151.25,362584.04,116.86
366151.05,362584.04,116.86
366151.05,362584.24,116.86
366150.85,362584.44,116.86
366150.85,362584.64,116.86
366150.65,362584.64,116.86
366150.65,362584.84,116.86
366150.45,362585.04,116.83000000072468
366150.45,362585.24,116.83000000072468
366150.25,362585.24,116.83
366150.25,362585.44,116.83
366150.25,362585.64,116.83
366150.05,362585.64,116.83
366150.05,362585.84,116.83
366149.85,362585.84,116.83
366149.85,362586.04,116.83
366149.85,362586.24,116.8300000001397
366149.65,362586.24,116.8300000001397
366149.65,362586.44,116.84
366149.45,362586.64,116.84999999977008
366149.45,362586.84,116.84999999977008
366149.25,362586.84,116.85
366149.25,362587.04,116.85
366149.05,362587.24,116.85
366149.05,362587.44,116.85
366148.85,362587.44,116.85
366148.85,362587.64,116.85
366148.85,362587.84,116.85
366148.65,362587.84,116.85
366148.65,362588.04,116.85
366148.45,362588.04,116.84000000021828
366148.45,362588.24,116.84000000021828
366148.45,362588.44,116.84
366148.25,362588.44,116.84
366148.25,362588.64,116.84
366148.05,362588.84,116.84
366148.05,362589.04,116.84
366147.85,362589.24,116.84
366147.65,362589.44,116.84
366147.65,362589.64,116.84
366147.45,362589.64,116.85999999958672
366147.45,362589.84,116.85999999958672
366147.45,362590.04,116.85999999958672
366147.25,362590.04,116.86
366147.25,362590.24,116.85999999944121
366147.05,362590.24,116.85999999944121
366147.05,362590.44,116.83
366147.05,362590.64,116.83
366146.85,362590.64,116.83
366146.85,362590.84,116.83
366146.65,362591.04,116.83
366146.65,362591.24,116.83000000019791
366146.45,362591.44,116.84
366146.45,362591.64,116.84
366146.45,362591.84,116.84
366146.25,362591.84,116.84
366146.25,362592.04,116.84
366146.25,362592.24,116.83999999979046
366146.25,362592.44,116.83
366146.25,362592.64,116.83
366146.05,362592.64,116.83
366146.05,362592.84,116.83
366146.05,362593.04,116.83
366146.05,362593.24,116.83000000044238
366146.05,362593.44,116.85
366145.85,362593.64,116.85
366145.85,362593.84,116.85
366145.85,362594.04,116.85
366145.85,362594.24,116.84999999976716
366145.85,362594.44,116.84
366145.65,362594.44,116.84
366145.65,362594.64,116.84
366145.65,362594.84,116.84
366145.65,362595.04,116.84
366145.65,362595.24,116.84000000048894
366145.45,362595.24,116.83999999975553
366145.45,362595.44,116.83000000055006
366145.45,362595.64,116.83000000055006
366145.45,362595.84,116.83000000055006
366145.45,362596.04,116.83000000055006
366145.25,362596.04,116.83
366145.25,362596.24,116.83000000051223
366145.25,362596.44,116.85
366145.25,362596.64,116.85
366145.25,362596.84,116.85
366145.05,362597.04,116.85
366145.05,362597.24,116.84999999973223
366145.05,362597.44,116.84
366145.05,362597.64,116.84
